"DateTime","Image name","Count of keypoints","Count of descriptors width","Count of descriptors hegiht","Algorithm","Time to generate","Parallel"
"03-May-19 16:04:38","lartelove_471955160.jpg","30000","32","30000","CudaOrientedFastAndRotatedBrief","133",""
"03-May-19 16:04:38","hsivonen_511338437.jpg","30000","32","30000","CudaOrientedFastAndRotatedBrief","170",""
"03-May-19 16:04:38","mpd01605_2535288114.jpg","29923","32","29923","CudaOrientedFastAndRotatedBrief","116",""
"03-May-19 16:04:38","roblisameehan_339481913.jpg","29300","32","29300","CudaOrientedFastAndRotatedBrief","62",""
"03-May-19 16:04:38","yisris_267944204.jpg","27450","32","27450","CudaOrientedFastAndRotatedBrief","49",""
"03-May-19 16:04:38","_rom__112625391.jpg","28553","32","28553","CudaOrientedFastAndRotatedBrief","31",""
"03-May-19 16:04:38","cfuga_1434910793.jpg","30000","32","30000","CudaOrientedFastAndRotatedBrief","82",""
"03-May-19 16:04:38","alex1961_2472410946.jpg","30000","32","30000","CudaOrientedFastAndRotatedBrief","159",""
"03-May-19 16:04:38","hthg1983_1795669326.jpg","12876","32","12876","CudaOrientedFastAndRotatedBrief","17",""
"03-May-19 16:04:39","alex1961_2472417696.jpg","30000","32","30000","CudaOrientedFastAndRotatedBrief","135",""
"03-May-19 16:04:39","eugeniayjulian_21020425.jpg","30000","32","30000","CudaOrientedFastAndRotatedBrief","107",""
"03-May-19 16:04:39","mpd01605_2535293050.jpg","29520","32","29520","CudaOrientedFastAndRotatedBrief","69",""
"03-May-19 16:04:39","yngrich_2972294.jpg","19547","32","19547","CudaOrientedFastAndRotatedBrief","31",""
"03-May-19 16:04:39","lashkin_2514033552.jpg","30000","32","30000","CudaOrientedFastAndRotatedBrief","173",""
"03-May-19 16:04:39","_rom__112625421.jpg","28846","32","28846","CudaOrientedFastAndRotatedBrief","35",""
"03-May-19 16:04:39","rowlando_2203613010.jpg","30000","32","30000","CudaOrientedFastAndRotatedBrief","140",""
"03-May-19 16:04:39","cfuga_1435597650.jpg","23872","32","23872","CudaOrientedFastAndRotatedBrief","65",""
