"DateTime","Image name","Count of keypoints","Count of descriptors width","Count of descriptors hegiht","Algorithm","Time to generate","Parallel"
"03-May-19 12:23:08","100_7108.JPG","28812","32","28812","CudaOrientedFastAndRotatedBrief","426",""
"03-May-19 12:23:08","100_7101.JPG","30000","32","30000","CudaOrientedFastAndRotatedBrief","405",""
"03-May-19 12:23:08","100_7103.JPG","29974","32","29974","CudaOrientedFastAndRotatedBrief","425",""
"03-May-19 12:23:08","100_7109.JPG","28575","32","28575","CudaOrientedFastAndRotatedBrief","482",""
"03-May-19 12:23:08","100_7110.JPG","30000","32","30000","CudaOrientedFastAndRotatedBrief","469",""
"03-May-19 12:23:08","100_7106.JPG","29431","32","29431","CudaOrientedFastAndRotatedBrief","481",""
"03-May-19 12:23:08","100_7104.JPG","30000","32","30000","CudaOrientedFastAndRotatedBrief","495",""
"03-May-19 12:23:08","100_7105.JPG","29407","32","29407","CudaOrientedFastAndRotatedBrief","472",""
"03-May-19 12:23:08","100_7107.JPG","29948","32","29948","CudaOrientedFastAndRotatedBrief","475",""
"03-May-19 12:23:08","100_7102.JPG","30000","32","30000","CudaOrientedFastAndRotatedBrief","517",""
"03-May-19 12:23:08","100_7100.JPG","30000","32","30000","CudaOrientedFastAndRotatedBrief","531",""
