"DateTime","Image name","Count of keypoints","Count of descriptors width","Count of descriptors hegiht","Algorithm","Time to generate","Parallel"
"02-May-19 14:34:42","DSC09941.JPG","2237","32","2237","OrientedFastAndRotatedBrief","909",""
"02-May-19 14:34:42","DSC09959.JPG","12608","32","12608","OrientedFastAndRotatedBrief","930",""
"02-May-19 14:34:42","DSC09942.JPG","15179","32","15179","OrientedFastAndRotatedBrief","936",""
"02-May-19 14:34:42","DSC09965.JPG","16573","32","16573","OrientedFastAndRotatedBrief","1088",""
"02-May-19 14:34:42","DSC09977.JPG","4539","32","4539","OrientedFastAndRotatedBrief","1167",""
"02-May-19 14:34:42","DSC09989.JPG","971","32","971","OrientedFastAndRotatedBrief","1209",""
"02-May-19 14:34:42","DSC09983.JPG","2580","32","2580","OrientedFastAndRotatedBrief","1263",""
"02-May-19 14:34:42","DSC09953.JPG","2936","32","2936","OrientedFastAndRotatedBrief","1325",""
"02-May-19 14:34:42","DSC09971.JPG","7800","32","7800","OrientedFastAndRotatedBrief","1435",""
"02-May-19 14:34:43","DSC09947.JPG","1942","32","1942","OrientedFastAndRotatedBrief","1522",""
"02-May-19 14:34:43","DSC09943.JPG","3969","32","3969","OrientedFastAndRotatedBrief","742",""
"02-May-19 14:34:44","DSC09990.JPG","4196","32","4196","OrientedFastAndRotatedBrief","903",""
"02-May-19 14:34:44","DSC09984.JPG","4730","32","4730","OrientedFastAndRotatedBrief","890",""
"02-May-19 14:34:44","DSC09948.JPG","2816","32","2816","OrientedFastAndRotatedBrief","1025",""
"02-May-19 14:34:44","DSC09960.JPG","7827","32","7827","OrientedFastAndRotatedBrief","793",""
"02-May-19 14:34:44","DSC09954.JPG","2210","32","2210","OrientedFastAndRotatedBrief","1014",""
"02-May-19 14:34:45","DSC09978.JPG","2731","32","2731","OrientedFastAndRotatedBrief","885",""
"02-May-19 14:34:45","DSC09949.JPG","1749","32","1749","OrientedFastAndRotatedBrief","1020",""
"02-May-19 14:34:45","DSC09944.JPG","2551","32","2551","OrientedFastAndRotatedBrief","940",""
"02-May-19 14:34:45","DSC09945.JPG","733","32","733","OrientedFastAndRotatedBrief","949",""
"02-May-19 14:34:45","DSC09966.JPG","15204","32","15204","OrientedFastAndRotatedBrief","966",""
"02-May-19 14:34:46","DSC09985.JPG","6319","32","6319","OrientedFastAndRotatedBrief","1063",""
"02-May-19 14:34:46","DSC09972.JPG","3298","32","3298","OrientedFastAndRotatedBrief","941",""
"02-May-19 14:34:46","DSC09951.JPG","2339","32","2339","OrientedFastAndRotatedBrief","1374",""
"02-May-19 14:34:46","DSC09961.JPG","18443","32","18443","OrientedFastAndRotatedBrief","789",""
"02-May-19 14:34:46","DSC09979.JPG","6705","32","6705","OrientedFastAndRotatedBrief","887",""
"02-May-19 14:34:46","DSC09955.JPG","11837","32","11837","OrientedFastAndRotatedBrief","1453",""
"02-May-19 14:34:46","DSC09950.JPG","7200","32","7200","OrientedFastAndRotatedBrief","1038",""
"02-May-19 14:34:46","DSC09991.JPG","1054","32","1054","OrientedFastAndRotatedBrief","1161",""
"02-May-19 14:34:47","DSC09956.JPG","6692","32","6692","OrientedFastAndRotatedBrief","816",""
"02-May-19 14:34:47","DSC09946.JPG","1614","32","1614","OrientedFastAndRotatedBrief","908",""
"02-May-19 14:34:47","DSC09973.JPG","3699","32","3699","OrientedFastAndRotatedBrief","851",""
"02-May-19 14:34:48","DSC09992.JPG","548","32","548","OrientedFastAndRotatedBrief","884",""
"02-May-19 14:34:48","DSC09952.JPG","3190","32","3190","OrientedFastAndRotatedBrief","979",""
"02-May-19 14:34:48","DSC09962.JPG","14595","32","14595","OrientedFastAndRotatedBrief","837",""
"02-May-19 14:34:49","DSC09980.JPG","4791","32","4791","OrientedFastAndRotatedBrief","956",""
"02-May-19 14:34:49","DSC09957.JPG","14153","32","14153","OrientedFastAndRotatedBrief","896",""
"02-May-19 14:34:49","DSC09967.JPG","13045","32","13045","OrientedFastAndRotatedBrief","1028",""
"02-May-19 14:34:49","DSC09986.JPG","664","32","664","OrientedFastAndRotatedBrief","988",""
"02-May-19 14:34:49","DSC09993.JPG","5042","32","5042","OrientedFastAndRotatedBrief","969",""
"02-May-19 14:34:49","DSC09968.JPG","15424","32","15424","OrientedFastAndRotatedBrief","1094",""
"02-May-19 14:34:49","DSC09974.JPG","1442","32","1442","OrientedFastAndRotatedBrief","937",""
"02-May-19 14:34:50","DSC09987.JPG","3843","32","3843","OrientedFastAndRotatedBrief","811",""
"02-May-19 14:34:50","DSC09981.JPG","5993","32","5993","OrientedFastAndRotatedBrief","904",""
"02-May-19 14:34:50","DSC09975.JPG","4702","32","4702","OrientedFastAndRotatedBrief","868",""
"02-May-19 14:34:51","DSC09963.JPG","9715","32","9715","OrientedFastAndRotatedBrief","936",""
"02-May-19 14:34:51","DSC09988.JPG","1967","32","1967","OrientedFastAndRotatedBrief","894",""
"02-May-19 14:34:51","DSC09958.JPG","15074","32","15074","OrientedFastAndRotatedBrief","909",""
"02-May-19 14:34:52","DSC09982.JPG","6298","32","6298","OrientedFastAndRotatedBrief","907",""
"02-May-19 14:34:52","DSC09969.JPG","16883","32","16883","OrientedFastAndRotatedBrief","901",""
"02-May-19 14:34:52","DSC09976.JPG","8261","32","8261","OrientedFastAndRotatedBrief","733",""
"02-May-19 14:34:52","DSC09964.JPG","13319","32","13319","OrientedFastAndRotatedBrief","861",""
"02-May-19 14:34:54","DSC09970.JPG","8952","32","8952","OrientedFastAndRotatedBrief","591",""
