"DateTime","Image name","Count of keypoints","Count of descriptors width","Count of descriptors hegiht","Algorithm","Time to generate","Parallel"
"02-May-19 14:35:54","DSC09941.JPG","2237","32","2237","OrientedFastAndRotatedBrief","1855",""
"02-May-19 14:35:54","DSC09989.JPG","971","32","971","OrientedFastAndRotatedBrief","1947",""
"02-May-19 14:35:54","DSC09977.JPG","4539","32","4539","OrientedFastAndRotatedBrief","1960",""
"02-May-19 14:35:54","DSC09971.JPG","7800","32","7800","OrientedFastAndRotatedBrief","1974",""
"02-May-19 14:35:54","DSC09983.JPG","2580","32","2580","OrientedFastAndRotatedBrief","2007",""
"02-May-19 14:35:54","DSC09959.JPG","12608","32","12608","OrientedFastAndRotatedBrief","2058",""
"02-May-19 14:35:54","DSC09953.JPG","2936","32","2936","OrientedFastAndRotatedBrief","2211",""
"02-May-19 14:35:54","DSC09965.JPG","16573","32","16573","OrientedFastAndRotatedBrief","2205",""
"02-May-19 14:35:54","DSC09947.JPG","1942","32","1942","OrientedFastAndRotatedBrief","2251",""
"02-May-19 14:35:55","DSC09990.JPG","4196","32","4196","OrientedFastAndRotatedBrief","1213",""
"02-May-19 14:35:56","DSC09942.JPG","15179","32","15179","OrientedFastAndRotatedBrief","1696",""
"02-May-19 14:35:56","DSC09984.JPG","4730","32","4730","OrientedFastAndRotatedBrief","1662",""
"02-May-19 14:35:57","DSC09948.JPG","2816","32","2816","OrientedFastAndRotatedBrief","1716",""
"02-May-19 14:35:57","DSC09978.JPG","2731","32","2731","OrientedFastAndRotatedBrief","1561",""
"02-May-19 14:35:57","DSC09954.JPG","2210","32","2210","OrientedFastAndRotatedBrief","1588",""
"02-May-19 14:35:57","DSC09972.JPG","3298","32","3298","OrientedFastAndRotatedBrief","1361",""
"02-May-19 14:35:58","DSC09960.JPG","7827","32","7827","OrientedFastAndRotatedBrief","1455",""
"02-May-19 14:35:58","DSC09991.JPG","1054","32","1054","OrientedFastAndRotatedBrief","1471",""
"02-May-19 14:35:59","DSC09985.JPG","6319","32","6319","OrientedFastAndRotatedBrief","1500",""
"02-May-19 14:35:59","DSC09979.JPG","6705","32","6705","OrientedFastAndRotatedBrief","1570",""
"02-May-19 14:35:59","DSC09949.JPG","1749","32","1749","OrientedFastAndRotatedBrief","1770",""
"02-May-19 14:35:59","DSC09955.JPG","11837","32","11837","OrientedFastAndRotatedBrief","1490",""
"02-May-19 14:36:00","DSC09943.JPG","3969","32","3969","OrientedFastAndRotatedBrief","1418",""
"02-May-19 14:36:00","DSC09973.JPG","3699","32","3699","OrientedFastAndRotatedBrief","1498",""
"02-May-19 14:36:00","DSC09966.JPG","15204","32","15204","OrientedFastAndRotatedBrief","1653",""
"02-May-19 14:36:00","DSC09992.JPG","548","32","548","OrientedFastAndRotatedBrief","1187",""
"02-May-19 14:36:00","DSC09961.JPG","18443","32","18443","OrientedFastAndRotatedBrief","1129",""
"02-May-19 14:36:01","DSC09950.JPG","7200","32","7200","OrientedFastAndRotatedBrief","1453",""
"02-May-19 14:36:01","DSC09993.JPG","5042","32","5042","OrientedFastAndRotatedBrief","1256",""
"02-May-19 14:36:02","DSC09986.JPG","664","32","664","OrientedFastAndRotatedBrief","1828",""
"02-May-19 14:36:02","DSC09980.JPG","4791","32","4791","OrientedFastAndRotatedBrief","1804",""
"02-May-19 14:36:02","DSC09974.JPG","1442","32","1442","OrientedFastAndRotatedBrief","1659",""
"02-May-19 14:36:02","DSC09944.JPG","2551","32","2551","OrientedFastAndRotatedBrief","2036",""
