"DateTime","Image name","Resolution width","Resolution height","Count of keypoints","Algorithm","Time to generate","Parallel"
"03-May-19 16:04:05","hthg1983_1795669326.jpg","800","556","12876","CudaOrientedFastAndRotatedBrief","5814",""
"03-May-19 16:04:05","yngrich_2972294.jpg","576","1024","19547","CudaOrientedFastAndRotatedBrief","891",""
"03-May-19 16:04:05","yisris_267944204.jpg","1600","1200","27450","CudaOrientedFastAndRotatedBrief","9312",""
"03-May-19 16:04:05","_rom__112625391.jpg","960","1280","28553","CudaOrientedFastAndRotatedBrief","6538",""
"03-May-19 16:04:05","cfuga_1434890789.jpg","2048","1536","29808","CudaOrientedFastAndRotatedBrief","9337",""
"03-May-19 16:04:05","mpd01605_2535288114.jpg","1600","1200","29923","CudaOrientedFastAndRotatedBrief","9335",""
"03-May-19 16:04:05","mpd01605_2535293050.jpg","1600","1200","29520","CudaOrientedFastAndRotatedBrief","2997",""
"03-May-19 16:04:05","roblisameehan_339481913.jpg","1066","1600","29300","CudaOrientedFastAndRotatedBrief","9378",""
"03-May-19 16:04:05","_fxr_2223134257.jpg","1784","3000","30000","CudaOrientedFastAndRotatedBrief","9412",""
"03-May-19 16:04:05","cfuga_1434910793.jpg","2048","1536","30000","CudaOrientedFastAndRotatedBrief","6604",""
"03-May-19 16:04:05","rowlando_2203613010.jpg","2816","2112","30000","CudaOrientedFastAndRotatedBrief","2093",""
"03-May-19 16:04:05","lartelove_471955160.jpg","1936","1288","30000","CudaOrientedFastAndRotatedBrief","9478",""
"03-May-19 16:04:05","lashkin_2514033552.jpg","1827","2697","30000","CudaOrientedFastAndRotatedBrief","4801",""
"03-May-19 16:04:05","hsivonen_511338437.jpg","1704","2272","30000","CudaOrientedFastAndRotatedBrief","9501",""
"03-May-19 16:04:05","alex1961_2472417696.jpg","3000","2250","30000","CudaOrientedFastAndRotatedBrief","6694",""
"03-May-19 16:04:05","eugeniayjulian_21020425.jpg","1704","2272","30000","CudaOrientedFastAndRotatedBrief","6694",""
"03-May-19 16:04:05","eugeniayjulian_21020301.jpg","1704","2272","30000","CudaOrientedFastAndRotatedBrief","9526",""
"03-May-19 16:04:05","http2007_902997681.jpg","800","600","20685","CudaOrientedFastAndRotatedBrief","268",""
"03-May-19 16:04:05","alex1961_2472410946.jpg","3000","2250","30000","CudaOrientedFastAndRotatedBrief","9597",""
"03-May-19 16:04:05","7368078@N04_423060766.jpg","772","1024","24028","CudaOrientedFastAndRotatedBrief","329",""
"03-May-19 16:04:06","rs-foto_347030896.jpg","1280","960","17034","CudaOrientedFastAndRotatedBrief","327",""
"03-May-19 16:04:06","7697295@N04_2302969557.jpg","768","1024","12958","CudaOrientedFastAndRotatedBrief","342",""
"03-May-19 16:04:06","_rom__112625421.jpg","960","1280","28846","CudaOrientedFastAndRotatedBrief","419",""
"03-May-19 16:04:06","cfuga_1435597650.jpg","2000","1500","23872","CudaOrientedFastAndRotatedBrief","423",""
"03-May-19 16:04:06","mpd01605_2536747839.jpg","1600","1200","26726","CudaOrientedFastAndRotatedBrief","386",""
"03-May-19 16:04:06","icyfrance_253330879.jpg","800","600","6177","CudaOrientedFastAndRotatedBrief","245",""
"03-May-19 16:04:06","zemzina_317353158.jpg","2288","1712","30000","CudaOrientedFastAndRotatedBrief","560",""
"03-May-19 16:04:06","http2007_903769980.jpg","600","800","20871","CudaOrientedFastAndRotatedBrief","352",""
"03-May-19 16:04:06","lifeofpei_2157908278.jpg","960","1280","25112","CudaOrientedFastAndRotatedBrief","404",""
"03-May-19 16:04:06","mpd01605_2535294130.jpg","1200","1600","29985","CudaOrientedFastAndRotatedBrief","582",""
"03-May-19 16:04:06","cfuga_1435600536.jpg","2000","1500","30000","CudaOrientedFastAndRotatedBrief","573",""
"03-May-19 16:04:06","lrargerich_2286298133.jpg","1600","1200","29198","CudaOrientedFastAndRotatedBrief","470",""
"03-May-19 16:04:06","7437937@N06_428202066.jpg","772","1024","24028","CudaOrientedFastAndRotatedBrief","353",""
"03-May-19 16:04:06","s2art_22800304.jpg","800","600","13423","CudaOrientedFastAndRotatedBrief","376",""
"03-May-19 16:04:06","eugeniayjulian_21023151.jpg","2272","1704","30000","CudaOrientedFastAndRotatedBrief","641",""
"03-May-19 16:04:06","8250661@N08_513996970.jpg","1280","960","24343","CudaOrientedFastAndRotatedBrief","429",""
"03-May-19 16:04:06","alex1961_2472450296.jpg","3000","2250","20351","CudaOrientedFastAndRotatedBrief","680",""
"03-May-19 16:04:06","alex1961_2472452294.jpg","2250","3000","11473","CudaOrientedFastAndRotatedBrief","624",""
"03-May-19 16:04:06","mpd01605_2536748017.jpg","1600","1200","20825","CudaOrientedFastAndRotatedBrief","424",""
"03-May-19 16:04:06","mpd01605_2536747629.jpg","1600","1200","8416","CudaOrientedFastAndRotatedBrief","283",""
"03-May-19 16:04:06","ikan66_425039935.jpg","1024","768","21754","CudaOrientedFastAndRotatedBrief","427",""
"03-May-19 16:04:06","ilhangendron_2272971696.jpg","1200","800","10448","CudaOrientedFastAndRotatedBrief","311",""
"03-May-19 16:04:06","samfelder_228388030.jpg","1704","2272","30000","CudaOrientedFastAndRotatedBrief","751",""
"03-May-19 16:04:06","cfuga_1435599238.jpg","2000","1500","22688","CudaOrientedFastAndRotatedBrief","451",""
"03-May-19 16:04:06","eugeniayjulian_21020562.jpg","1704","2272","30000","CudaOrientedFastAndRotatedBrief","749",""
"03-May-19 16:04:06","2pworth_50915720.jpg","1632","1224","28534","CudaOrientedFastAndRotatedBrief","524",""
"03-May-19 16:04:06","8250661@N08_513997064.jpg","1280","960","28565","CudaOrientedFastAndRotatedBrief","440",""
"03-May-19 16:04:06","linda_uruchurtu_238388703.jpg","1280","960","28042","CudaOrientedFastAndRotatedBrief","427",""
"03-May-19 16:04:06","cfuga_1435610228.jpg","2048","1536","29154","CudaOrientedFastAndRotatedBrief","376",""
"03-May-19 16:04:06","lrargerich_2286298771.jpg","1200","1600","28123","CudaOrientedFastAndRotatedBrief","380",""
"03-May-19 16:04:06","mtoz_130633301.jpg","960","1280","18894","CudaOrientedFastAndRotatedBrief","130",""
"03-May-19 16:04:06","jaumemeneses_1809356282.jpg","603","800","19499","CudaOrientedFastAndRotatedBrief","237",""
"03-May-19 16:04:06","13012027@N04_2073400087.jpg","768","1024","22709","CudaOrientedFastAndRotatedBrief","335",""
"03-May-19 16:04:06","10699036@N08_2183236021.jpg","2016","2688","30000","CudaOrientedFastAndRotatedBrief","668",""
