"DateTime","Image name","Resolution width","Resolution height","Count of keypoints","Algorithm","Time to generate","Parallel"
"02-May-19 14:34:35","DSC09977.JPG","4912","3264","4539","OrientedFastAndRotatedBrief","2311",""
"02-May-19 14:34:35","DSC09942.JPG","4912","3264","15179","OrientedFastAndRotatedBrief","517",""
"02-May-19 14:34:36","DSC09943.JPG","4912","3264","3969","OrientedFastAndRotatedBrief","587",""
"02-May-19 14:34:36","DSC09978.JPG","4912","3264","2731","OrientedFastAndRotatedBrief","831",""
"02-May-19 14:34:36","DSC09989.JPG","4912","3264","971","OrientedFastAndRotatedBrief","3291",""
"02-May-19 14:34:36","DSC09965.JPG","4912","3264","16573","OrientedFastAndRotatedBrief","3334",""
"02-May-19 14:34:36","DSC09971.JPG","4912","3264","7800","OrientedFastAndRotatedBrief","3333",""
"02-May-19 14:34:36","DSC09947.JPG","4912","3264","1942","OrientedFastAndRotatedBrief","3379",""
"02-May-19 14:34:36","DSC09941.JPG","4912","3264","2237","OrientedFastAndRotatedBrief","3385",""
"02-May-19 14:34:36","DSC09953.JPG","4912","3264","2936","OrientedFastAndRotatedBrief","3382",""
"02-May-19 14:34:36","DSC09959.JPG","4912","3264","12608","OrientedFastAndRotatedBrief","3397",""
"02-May-19 14:34:36","DSC09983.JPG","4912","3264","2580","OrientedFastAndRotatedBrief","3384",""
"02-May-19 14:34:37","DSC09984.JPG","4912","3264","4730","OrientedFastAndRotatedBrief","793",""
"02-May-19 14:34:37","DSC09966.JPG","4912","3264","15204","OrientedFastAndRotatedBrief","937",""
"02-May-19 14:34:37","DSC09945.JPG","4912","3264","733","OrientedFastAndRotatedBrief","902",""
"02-May-19 14:34:37","DSC09990.JPG","4912","3264","4196","OrientedFastAndRotatedBrief","1050",""
"02-May-19 14:34:37","DSC09972.JPG","4912","3264","3298","OrientedFastAndRotatedBrief","1038",""
"02-May-19 14:34:37","DSC09979.JPG","4912","3264","6705","OrientedFastAndRotatedBrief","1187",""
"02-May-19 14:34:37","DSC09960.JPG","4912","3264","7827","OrientedFastAndRotatedBrief","1158",""
"02-May-19 14:34:37","DSC09954.JPG","4912","3264","2210","OrientedFastAndRotatedBrief","1184",""
"02-May-19 14:34:37","DSC09948.JPG","4912","3264","2816","OrientedFastAndRotatedBrief","1282",""
"02-May-19 14:34:38","DSC09985.JPG","4912","3264","6319","OrientedFastAndRotatedBrief","856",""
"02-May-19 14:34:38","DSC09991.JPG","4912","3264","1054","OrientedFastAndRotatedBrief","856",""
