"DateTime","Matching type","Left image","Right image","Count of left descriptors width","Count of left descriptors height","Count of right descriptors width","Count of right descriptors height","Founded matches","Filtered matches","Algorithm","Time to generate","Time to filtered","Filtered","Parallel"
"03-May-19 12:58:36","AllWithAll","100_7100.JPG","100_7101.JPG","32","10000","32","10000","10000","9969","CudaBruteForce","100","212","True",""
"03-May-19 12:58:36","AllWithAll","100_7102.JPG","100_7104.JPG","32","10000","32","10000","10000","9947","CudaBruteForce","71","213","True",""
"03-May-19 12:58:36","AllWithAll","100_7101.JPG","100_7103.JPG","32","10000","32","10000","10000","9978","CudaBruteForce","65","202","True",""
"03-May-19 12:58:37","AllWithAll","100_7105.JPG","100_7107.JPG","32","10000","32","10000","10000","9955","CudaBruteForce","59","193","True",""
"03-May-19 12:58:37","AllWithAll","100_7101.JPG","100_7102.JPG","32","10000","32","10000","10000","9982","CudaBruteForce","60","217","True",""
"03-May-19 12:58:37","AllWithAll","100_7100.JPG","100_7102.JPG","32","10000","32","10000","10000","9989","CudaBruteForce","61","184","True",""
"03-May-19 12:58:37","AllWithAll","100_7102.JPG","100_7103.JPG","32","10000","32","10000","10000","9984","CudaBruteForce","57","117","True",""
"03-May-19 12:58:37","AllWithAll","100_7103.JPG","100_7104.JPG","32","10000","32","10000","10000","9953","CudaBruteForce","58","204","True",""
"03-May-19 12:58:37","AllWithAll","100_7105.JPG","100_7106.JPG","32","10000","32","10000","10000","9969","CudaBruteForce","84","181","True",""
"03-May-19 12:58:37","AllWithAll","100_7104.JPG","100_7105.JPG","32","10000","32","10000","10000","9927","CudaBruteForce","63","181","True",""
"03-May-19 12:58:38","AllWithAll","100_7106.JPG","100_7107.JPG","32","10000","32","10000","10000","9936","CudaBruteForce","61","164","True",""
"03-May-19 12:58:38","AllWithAll","100_7100.JPG","100_7103.JPG","32","10000","32","10000","10000","9956","CudaBruteForce","57","174","True",""
"03-May-19 12:58:38","AllWithAll","100_7102.JPG","100_7105.JPG","32","10000","32","10000","10000","9967","CudaBruteForce","69","171","True",""
"03-May-19 12:58:38","AllWithAll","100_7101.JPG","100_7104.JPG","32","10000","32","10000","10000","9971","CudaBruteForce","58","186","True",""
"03-May-19 12:58:38","AllWithAll","100_7103.JPG","100_7105.JPG","32","10000","32","10000","10000","9886","CudaBruteForce","58","181","True",""
"03-May-19 12:58:38","AllWithAll","100_7105.JPG","100_7108.JPG","32","10000","32","10000","10000","9958","CudaBruteForce","58","202","True",""
