"DateTime","Matching type","Left image","Right image","Count of left descriptors width","Count of left descriptors height","Count of right descriptors width","Count of right descriptors height","Founded matches","Filtered matches","Algorithm","Time to generate","Time to filtered","Filtered","Parallel"
"03-May-19 12:23:10","OnePrevious","100_7107.JPG","100_7106.JPG","32","29948","32","29431","29431","29319","CudaBruteForce","590","419","True",""
"03-May-19 12:23:10","OnePrevious","100_7108.JPG","100_7107.JPG","32","28812","32","29948","29948","29878","CudaBruteForce","479","398","True",""
"03-May-19 12:23:11","OnePrevious","100_7109.JPG","100_7108.JPG","32","28575","32","28812","28812","28739","CudaBruteForce","445","392","True",""
"03-May-19 12:23:11","OnePrevious","100_7110.JPG","100_7109.JPG","32","30000","32","28575","28575","28514","CudaBruteForce","469","383","True",""
"03-May-19 12:23:12","OnePrevious","100_7105.JPG","100_7104.JPG","32","29407","32","30000","30000","29986","CudaBruteForce","478","392","True",""
"03-May-19 12:23:13","OnePrevious","100_7106.JPG","100_7105.JPG","32","29431","32","29407","29407","29305","CudaBruteForce","464","382","True",""
"03-May-19 12:23:13","OnePrevious","100_7103.JPG","100_7102.JPG","32","29974","32","30000","30000","29923","CudaBruteForce","488","343","True",""
"03-May-19 12:23:14","OnePrevious","100_7102.JPG","100_7101.JPG","32","30000","32","30000","30000","29917","CudaBruteForce","500","394","True",""
"03-May-19 12:23:15","OnePrevious","100_7104.JPG","100_7103.JPG","32","30000","32","29974","29974","29908","CudaBruteForce","492","401","True",""
"03-May-19 12:23:15","OnePrevious","100_7101.JPG","100_7100.JPG","32","30000","32","30000","30000","29970","CudaBruteForce","492","346","True",""
