"DateTime","Matching type","Left image","Right image","Count of left descriptors width","Count of left descriptors height","Count of right descriptors width","Count of right descriptors height","Founded matches","Filtered matches","Algorithm","Time to generate","Time to filtered","Filtered","Parallel"
"02-May-19 14:34:58","OnePrevious","DSC09942.JPG","DSC09941.JPG","32","15179","32","2237","2237","2236","CudaBruteForce","3520","104","True",""
"02-May-19 14:34:58","OnePrevious","DSC09989.JPG","DSC09988.JPG","32","971","32","1967","1967","1960","CudaBruteForce","3","103","True",""
"02-May-19 14:34:58","OnePrevious","DSC09983.JPG","DSC09982.JPG","32","2580","32","6298","6298","6288","CudaBruteForce","17","144","True",""
"02-May-19 14:34:58","OnePrevious","DSC09944.JPG","DSC09943.JPG","32","2551","32","3969","3969","3965","CudaBruteForce","11","123","True",""
"02-May-19 14:34:58","OnePrevious","DSC09948.JPG","DSC09947.JPG","32","2816","32","1942","1942","1936","CudaBruteForce","18","131","True",""
"02-May-19 14:34:58","OnePrevious","DSC09977.JPG","DSC09976.JPG","32","4539","32","8261","8261","8255","CudaBruteForce","32","180","True",""
"02-May-19 14:34:58","OnePrevious","DSC09959.JPG","DSC09958.JPG","32","12608","32","15074","15074","15062","CudaBruteForce","146","242","True",""
"02-May-19 14:34:58","OnePrevious","DSC09947.JPG","DSC09946.JPG","32","1942","32","1614","1614","1603","CudaBruteForce","5","95","True",""
"02-May-19 14:34:58","OnePrevious","DSC09971.JPG","DSC09970.JPG","32","7800","32","8952","8952","8943","CudaBruteForce","59","176","True",""
"02-May-19 14:34:59","OnePrevious","DSC09953.JPG","DSC09952.JPG","32","2936","32","3190","3190","3185","CudaBruteForce","10","107","True",""
"02-May-19 14:34:59","OnePrevious","DSC09954.JPG","DSC09953.JPG","32","2210","32","2936","2936","2932","CudaBruteForce","8","111","True",""
"02-May-19 14:34:59","OnePrevious","DSC09965.JPG","DSC09964.JPG","32","16573","32","13319","13319","13293","CudaBruteForce","160","227","True",""
"02-May-19 14:34:59","OnePrevious","DSC09960.JPG","DSC09959.JPG","32","7827","32","12608","12608","12601","CudaBruteForce","70","208","True",""
"02-May-19 14:34:59","OnePrevious","DSC09972.JPG","DSC09971.JPG","32","3298","32","7800","7800","7794","CudaBruteForce","22","177","True",""
