"DateTime","Matching type","Left image","Right image","Count of left descriptors width","Count of left descriptors height","Count of right descriptors width","Count of right descriptors height","Founded matches","Filtered matches","Algorithm","Time to generate","Time to filtered","Filtered","Parallel"
"02-May-19 14:36:13","TwoPrevious","DSC09943.JPG","DSC09941.JPG","32","3969","32","2237","2237","2234","CudaBruteForce","36","143","True",""
"02-May-19 14:36:13","TwoPrevious","DSC09947.JPG","DSC09946.JPG","32","1942","32","1614","1614","1603","CudaBruteForce","9","100","True",""
"02-May-19 14:36:13","TwoPrevious","DSC09953.JPG","DSC09951.JPG","32","2936","32","2339","2339","2327","CudaBruteForce","10","113","True",""
"02-May-19 14:36:13","TwoPrevious","DSC09953.JPG","DSC09952.JPG","32","2936","32","3190","3190","3185","CudaBruteForce","12","146","True",""
"02-May-19 14:36:13","TwoPrevious","DSC09943.JPG","DSC09942.JPG","32","3969","32","15179","15179","15173","CudaBruteForce","64","278","True",""
"02-May-19 14:36:13","TwoPrevious","DSC09965.JPG","DSC09963.JPG","32","16573","32","9715","9715","9711","CudaBruteForce","154","244","True",""
"02-May-19 14:36:14","TwoPrevious","DSC09947.JPG","DSC09945.JPG","32","1942","32","733","733","718","CudaBruteForce","27","92","True",""
"02-May-19 14:36:14","TwoPrevious","DSC09959.JPG","DSC09957.JPG","32","12608","32","14153","14153","14134","CudaBruteForce","176","304","True",""
"02-May-19 14:36:14","TwoPrevious","DSC09971.JPG","DSC09969.JPG","32","7800","32","16883","16883","16840","CudaBruteForce","98","322","True",""
"02-May-19 14:36:14","TwoPrevious","DSC09965.JPG","DSC09964.JPG","32","16573","32","13319","13319","13293","CudaBruteForce","141","271","True",""
"02-May-19 14:36:14","TwoPrevious","DSC09971.JPG","DSC09970.JPG","32","7800","32","8952","8952","8943","CudaBruteForce","57","212","True",""
"02-May-19 14:36:15","TwoPrevious","DSC09977.JPG","DSC09975.JPG","32","4539","32","4702","4702","4688","CudaBruteForce","15","192","True",""
"02-May-19 14:36:15","TwoPrevious","DSC09959.JPG","DSC09958.JPG","32","12608","32","15074","15074","15062","CudaBruteForce","147","293","True",""
"02-May-19 14:36:15","TwoPrevious","DSC09977.JPG","DSC09976.JPG","32","4539","32","8261","8261","8255","CudaBruteForce","32","192","True",""
"02-May-19 14:36:15","TwoPrevious","DSC09983.JPG","DSC09981.JPG","32","2580","32","5993","5993","5992","CudaBruteForce","24","163","True",""
"02-May-19 14:36:15","TwoPrevious","DSC09989.JPG","DSC09987.JPG","32","971","32","3843","3843","3833","CudaBruteForce","8","130","True",""
"02-May-19 14:36:15","TwoPrevious","DSC09944.JPG","DSC09943.JPG","32","2551","32","3969","3969","3965","CudaBruteForce","10","122","True",""
"02-May-19 14:36:15","TwoPrevious","DSC09948.JPG","DSC09946.JPG","32","2816","32","1614","1614","1595","CudaBruteForce","5","119","True",""
"02-May-19 14:36:15","TwoPrevious","DSC09954.JPG","DSC09952.JPG","32","2210","32","3190","3190","3169","CudaBruteForce","7","139","True",""
"02-May-19 14:36:15","TwoPrevious","DSC09944.JPG","DSC09942.JPG","32","2551","32","15179","15179","15158","CudaBruteForce","32","274","True",""
"02-May-19 14:36:15","TwoPrevious","DSC09960.JPG","DSC09958.JPG","32","7827","32","15074","15074","15071","CudaBruteForce","73","259","True",""
"02-May-19 14:36:15","TwoPrevious","DSC09983.JPG","DSC09982.JPG","32","2580","32","6298","6298","6288","CudaBruteForce","16","180","True",""
"02-May-19 14:36:15","TwoPrevious","DSC09954.JPG","DSC09953.JPG","32","2210","32","2936","2936","2932","CudaBruteForce","18","143","True",""
"02-May-19 14:36:15","TwoPrevious","DSC09960.JPG","DSC09959.JPG","32","7827","32","12608","12608","12601","CudaBruteForce","63","229","True",""
"02-May-19 14:36:16","TwoPrevious","DSC09948.JPG","DSC09947.JPG","32","2816","32","1942","1942","1936","CudaBruteForce","6","135","True",""
"02-May-19 14:36:16","TwoPrevious","DSC09989.JPG","DSC09988.JPG","32","971","32","1967","1967","1960","CudaBruteForce","12","127","True",""
